Date,Open,High,Low,Close,Volume
2019-09-03,51.607498,51.744999,51.055,51.424999,80092000.0
2019-09-04,52.0975,52.369999,51.830002,52.297501,76752400.0
2019-09-05,,,,,
2019-09-06,,,,,
2019-09-09,53.709999,54.110001,52.767502,53.5425,109237600.0
2019-09-10,53.465,54.195,52.927502,54.174999,127111600.0
2019-09-11,54.517502,55.927502,54.432499,55.897499,177158400.0
2019-09-12,,,,,
2019-09-13,55.0,55.197498,54.255001,54.6875,159053200.0
2019-09-16,54.432499,55.032501,54.389999,54.974998,84632400.0
2019-09-17,54.990002,55.205002,54.779999,55.174999,73274800.0
2019-09-18,55.264999,55.712502,54.860001,55.692501,101360000.0
2019-09-19,,,,,
2019-09-20,55.345001,55.639999,54.3675,54.432499,221652400.0
2019-09-23,54.737499,54.959999,54.412498,54.68,76662000.0
2019-09-24,55.2575,55.622501,54.297501,54.419998,124763200.0
2019-09-25,54.637501,55.375,54.285,55.2575,87613600.0
2019-09-26,55.0,55.235001,54.7075,54.9725,75334000.0
2019-09-27,55.134998,55.240002,54.32,54.705002,101408000.0
2019-09-30,55.224998,56.145,55.197498,55.9925,103909600.0
2019-10-01,56.267502,57.055,56.049999,56.147499,139223200.0
2019-10-02,55.764999,55.895,54.482498,54.740002,138449200.0
2019-10-03,,,,,
2019-10-04,56.41,56.872501,55.9725,56.752499,138478800.0
2019-10-07,56.567501,57.482498,56.459999,56.764999,122306000.0
2019-10-08,56.455002,57.014999,56.0825,56.099998,111820000.0
2019-10-09,56.7575,56.947498,56.41,56.7575,74770400.0
2019-10-10,56.982498,57.610001,56.825001,57.522499,113013600.0
2019-10-11,58.237499,59.41,58.077499,59.052502,166795600.0
2019-10-14,58.724998,59.532501,58.6675,58.967499,96427600.0
2019-10-15,59.0975,59.412498,58.720001,58.830002,87360000.0
2019-10-16,58.342499,58.810001,58.299999,58.592499,73903200.0
2019-10-17,58.772499,59.037498,58.380001,58.82,67585200.0
2019-10-18,58.647499,59.395,58.572498,59.102501,97433600.0
2019-10-21,59.380001,60.247501,59.330002,60.127499,87247200.0
2019-10-22,60.290001,60.549999,59.904999,59.990002,82293600.0
2019-10-23,60.525002,60.810001,60.305,60.794998,75828800.0
2019-10-24,61.127499,61.200001,60.452499,60.895,69275200.0
2019-10-25,60.790001,61.682499,60.720001,61.645,73477200.0
2019-10-28,61.855,62.3125,61.68,62.262501,96572800.0
2019-10-29,62.2425,62.4375,60.642502,60.822498,142839600.0
2019-10-30,61.189999,61.325001,60.302502,60.814999,124522000.0
2019-10-31,61.810001,62.2925,59.314999,62.189999,139162000.0
2019-11-01,,,,,
2019-11-04,64.332497,64.462502,63.845001,64.375,103272000.0
2019-11-05,64.262497,64.547501,64.080002,64.282501,79897600.0
2019-11-06,64.192497,64.372498,63.842499,64.309998,75864400.0
2019-11-07,64.684998,65.087502,64.527496,64.857498,94940400.0
2019-11-08,64.672501,65.110001,64.212502,65.035004,69986400.0
2019-11-11,64.574997,65.6175,64.57,65.550003,81821200.0
2019-11-12,65.387497,65.697502,65.230003,65.489998,87388800.0
2019-11-13,65.282501,66.195,65.267502,66.1175,102734400.0
2019-11-14,65.9375,66.220001,65.525002,65.660004,89182800.0
2019-11-15,65.919998,66.445,65.752502,66.440002,100206400.0
2019-11-18,66.449997,66.857498,66.057503,66.775002,86703200.0
2019-11-19,,,,,
2019-11-20,66.385002,66.519997,65.099998,65.797501,106234400.0
2019-11-21,65.922501,66.002502,65.294998,65.502502,121395200.0
2019-11-22,65.647499,65.794998,65.209999,65.445,65325200.0
2019-11-25,,,,,
2019-11-26,66.735001,66.790001,65.625,66.072502,105207600.0
2019-11-27,66.394997,66.995003,66.327499,66.959999,65235600.0
2019-11-29,,,,,
2019-12-02,66.817497,67.0625,65.862503,66.040001,94487200.0
2019-12-03,64.577499,64.8825,64.072502,64.862503,114430400.0
2019-12-04,65.267502,65.827499,65.169998,65.434998,67181600.0
2019-12-05,65.947502,66.472504,65.682503,66.394997,74424400.0
2019-12-06,66.870003,67.75,66.824997,67.677498,106075600.0
2019-12-09,67.5,67.699997,66.227501,66.730003,128042400.0
2019-12-10,67.150002,67.517502,66.464996,67.120003,90420400.0
2019-12-11,67.202499,67.775002,67.125,67.692497,78756800.0
2019-12-12,66.945,68.139999,66.830002,67.864998,137310400.0
2019-12-13,,,,,
2019-12-16,69.25,70.197502,69.245003,69.964996,128186000.0
2019-12-17,69.892502,70.442497,69.699997,70.102501,114158400.0
2019-12-18,69.949997,70.474998,69.779999,69.934998,116028400.0
2019-12-19,69.875,70.294998,69.737503,70.004997,98369200.0
2019-12-20,,,,,
2019-12-23,70.1325,71.0625,70.092499,71.0,98572000.0
2019-12-24,71.172501,71.222504,70.730003,71.067497,48478800.0
2019-12-26,71.205002,72.495003,71.175003,72.477501,93121200.0
2019-12-27,,,,,
2019-12-30,,,,,
2019-12-31,72.482498,73.419998,72.379997,73.412498,100805600.0
2020-01-02,74.059998,75.150002,73.797501,75.087502,135480400.0
2020-01-03,74.287498,75.144997,74.125,74.357498,146322800.0
2020-01-06,,,,,
2020-01-07,74.959999,75.224998,74.370003,74.597504,108872000.0
2020-01-08,,,,,
2020-01-09,76.809998,77.607498,76.550003,77.407501,170108400.0
2020-01-10,77.650002,78.167503,77.0625,77.582497,140644800.0
2020-01-13,77.910004,79.267502,77.787498,79.239998,121532000.0
2020-01-14,79.175003,79.392502,78.042503,78.169998,161954400.0
2020-01-15,77.962502,78.875,77.387497,77.834999,121923600.0
2020-01-16,78.397499,78.925003,78.022499,78.809998,108829200.0
2020-01-17,79.067497,79.684998,78.75,79.682503,137816400.0
2020-01-21,79.297501,79.754997,79.0,79.142502,110843200.0
2020-01-22,79.644997,79.997498,79.327499,79.425003,101832400.0
2020-01-23,79.480003,79.889999,78.912498,79.807503,104472000.0
2020-01-24,80.0625,80.832497,79.379997,79.577499,146537600.0
2020-01-27,77.514999,77.942497,76.220001,77.237503,161940000.0
2020-01-28,78.150002,79.599998,78.047501,79.422501,162234000.0
2020-01-29,81.112503,81.962502,80.345001,81.084999,216229200.0
2020-01-30,,,,,
2020-01-31,80.232498,80.669998,77.072502,77.377502,199588400.0
2020-02-03,76.074997,78.372498,75.555,77.165001,173788400.0
2020-02-04,78.827499,79.910004,78.407501,79.712502,136616400.0
2020-02-05,80.879997,81.190002,79.737503,80.362503,118826800.0
2020-02-06,80.642502,81.305,80.065002,81.302498,105425600.0
2020-02-07,,,,,
2020-02-10,78.544998,80.387497,78.462502,80.387497,109348800.0
2020-02-11,,,,,
2020-02-12,80.3675,81.805,80.3675,81.800003,113730400.0
2020-02-13,81.047501,81.555,80.837502,81.217499,94747600.0
2020-02-14,,,,,
2020-02-18,78.839996,79.9375,78.652496,79.75,152531200.0
2020-02-19,,,,,
2020-02-20,,,,,
2020-02-21,79.654999,80.112503,77.625,78.262497,129554000.0
2020-02-24,,,,,
2020-02-25,75.237503,75.6325,71.532501,72.019997,230673600.0
2020-02-26,,,,,
2020-02-27,,,,,
2020-02-28,64.315002,69.602501,64.092499,68.339996,426510000.0
2020-03-02,,,,,
2020-03-03,75.917503,76.0,71.449997,72.330002,319475600.0
2020-03-04,74.110001,75.849998,73.282501,75.684998,219178400.0
2020-03-05,73.879997,74.887497,72.852501,73.230003,187572800.0
2020-03-06,,,,,
2020-03-09,,,,,
2020-03-10,69.285004,71.610001,67.342499,71.334999,285290000.0
2020-03-11,,,,,
2020-03-12,63.985001,67.5,62.0,62.057499,418474000.0
2020-03-13,66.222504,69.980003,63.237499,69.4925,370732000.0
2020-03-16,,,,,
2020-03-17,61.877499,64.402496,59.599998,63.215,324056000.0
2020-03-18,59.942501,62.5,59.279999,61.6675,300233600.0
2020-03-19,61.8475,63.209999,60.6525,61.195,271857200.0
2020-03-20,,,,,
2020-03-23,57.02,57.125,53.1525,56.092499,336752800.0
2020-03-24,,,,,
2020-03-25,62.6875,64.5625,61.075001,61.380001,303602000.0
2020-03-26,61.630001,64.669998,61.59,64.610001,252087200.0
2020-03-27,,,,,
2020-03-30,62.685001,63.880001,62.349998,63.702499,167976400.0
2020-03-31,63.900002,65.622498,63.0,63.572498,197002000.0
2020-04-01,61.625,62.18,59.782501,60.227501,176218400.0
2020-04-02,60.084999,61.287498,59.224998,61.232498,165934000.0
2020-04-03,60.700001,61.424999,59.7425,60.352501,129880000.0
2020-04-06,,,,,
2020-04-07,67.699997,67.925003,64.75,64.857498,202887200.0
2020-04-08,65.684998,66.842499,65.307503,66.517502,168895200.0
2020-04-09,67.175003,67.517502,66.175003,66.997498,161834800.0
2020-04-13,67.077499,68.425003,66.457497,68.3125,131022800.0
2020-04-14,70.0,72.0625,69.512497,71.762497,194994800.0
2020-04-15,70.599998,71.582497,70.157501,71.107498,131154400.0
2020-04-16,,,,,
2020-04-17,71.172501,71.737503,69.214996,70.699997,215250000.0
2020-04-20,69.487503,70.419998,69.212502,69.232498,130015200.0
2020-04-21,,,,,
2020-04-22,68.402496,69.474998,68.050003,69.025002,116862400.0
2020-04-23,68.967499,70.4375,68.717499,68.7575,124814400.0
2020-04-24,69.300003,70.752502,69.25,70.7425,126161200.0
2020-04-27,70.449997,71.135002,69.987503,70.792503,117087600.0
2020-04-28,71.269997,71.457497,69.550003,69.644997,112004800.0
2020-04-29,71.182503,72.417503,70.972504,71.932503,137280800.0
2020-04-30,72.489998,73.6325,72.087502,73.449997,183064000.0
2020-05-01,71.5625,74.75,71.462502,72.267502,240616800.0
2020-05-04,72.292503,73.422501,71.580002,73.290001,133568000.0
2020-05-05,73.764999,75.25,73.614998,74.389999,147751200.0
2020-05-06,75.114998,75.809998,74.717499,75.157501,142333600.0
2020-05-07,75.805,76.292503,75.4925,75.934998,115215200.0
2020-05-08,,,,,
2020-05-11,77.025002,79.262497,76.809998,78.752502,145946400.0
2020-05-12,79.457497,79.922501,77.727501,77.852501,162301200.0
2020-05-13,78.037498,78.987503,75.802498,76.912498,200622400.0
2020-05-14,76.127502,77.447502,75.3825,77.385002,158929200.0
2020-05-15,75.087502,76.974998,75.052498,76.927498,166348400.0
2020-05-18,78.292503,79.125,77.580002,78.739998,135178400.0
2020-05-19,,,,,
2020-05-20,79.169998,79.879997,79.129997,79.807503,111504800.0
2020-05-21,79.665001,80.222504,78.967499,79.212502,102688800.0
2020-05-22,78.942497,79.807503,78.837502,79.722504,81803200.0
2020-05-26,80.875,81.059998,79.125,79.182503,125522000.0
2020-05-27,,,,,
2020-05-28,79.192497,80.860001,78.907501,79.5625,133560800.0
2020-05-29,79.8125,80.287498,79.1175,79.485001,153532400.0
2020-06-01,79.4375,80.587502,79.302498,80.462502,80791200.0
2020-06-02,80.1875,80.860001,79.732498,80.834999,87642800.0
2020-06-03,81.165001,81.550003,80.574997,81.279999,104491200.0
2020-06-04,81.097504,81.404999,80.195,80.580002,87560400.0
2020-06-05,80.837502,82.9375,80.807503,82.875,137250400.0
2020-06-08,82.5625,83.400002,81.830002,83.364998,95654400.0
2020-06-09,83.035004,86.402496,83.002502,85.997498,147712400.0
2020-06-10,,,,,
2020-06-11,87.327499,87.764999,83.870003,83.974998,201662400.0
2020-06-12,86.18,86.949997,83.555,84.699997,200146000.0
2020-06-15,83.3125,86.419998,83.144997,85.747498,138808800.0
2020-06-16,,,,,
2020-06-17,88.787498,88.849998,87.772499,87.897499,114406400.0
2020-06-18,87.852501,88.362503,87.305,87.932503,96820400.0
2020-06-19,88.660004,89.139999,86.287498,87.43,264476000.0
2020-06-22,87.834999,89.864998,87.787498,89.717499,135445200.0
2020-06-23,91.0,93.095001,90.567497,91.6325,212155600.0
2020-06-24,,,,,
2020-06-25,90.175003,91.25,89.392502,91.209999,137522400.0
2020-06-26,91.102501,91.330002,88.254997,88.407501,205256800.0
2020-06-29,88.3125,90.542503,87.82,90.445,130646000.0
2020-06-30,90.019997,91.495003,90.0,91.199997,140223200.0
2020-07-01,91.279999,91.839996,90.977501,91.027496,110737200.0
2020-07-02,91.962502,92.6175,90.910004,91.027496,114041600.0
2020-07-06,92.5,93.945,92.467499,93.462502,118655600.0
2020-07-07,93.852501,94.654999,93.057503,93.172501,112424400.0
2020-07-08,94.18,95.375,94.089996,95.342499,117092000.0
2020-07-09,96.262497,96.317497,94.672501,95.752502,125642800.0
2020-07-10,95.334999,95.980003,94.705002,95.919998,90257200.0
2020-07-13,97.264999,99.955002,95.2575,95.477501,191649200.0
2020-07-14,94.839996,97.254997,93.877502,97.057503,170989200.0
2020-07-15,98.989998,99.247498,96.489998,97.724998,153198000.0
2020-07-16,,,,,
2020-07-17,,,,,
2020-07-20,96.417503,98.5,96.0625,98.357498,90318000.0
2020-07-21,99.172501,99.25,96.7425,97.0,103433200.0
2020-07-22,96.692497,97.974998,96.602501,97.272499,89001600.0
2020-07-23,96.997498,97.077499,92.010002,92.845001,197004400.0
2020-07-24,90.987503,92.970001,89.144997,92.614998,185438800.0
2020-07-27,93.709999,94.904999,93.480003,94.809998,121214000.0
2020-07-28,94.3675,94.550003,93.247498,93.252502,103625600.0
2020-07-29,93.75,95.230003,93.712502,95.040001,90329200.0
2020-07-30,,,,,
2020-07-31,102.885002,106.415001,100.824997,106.260002,374336800.0
2020-08-03,108.199997,111.637497,107.892502,108.9375,308151200.0
2020-08-04,109.1325,110.790001,108.387497,109.665001,173071600.0
2020-08-05,109.377502,110.392502,108.897499,110.0625,121776800.0
2020-08-06,,,,,
2020-08-07,,,,,
2020-08-10,,,,,
2020-08-11,111.970001,112.482498,109.107498,109.375,187902400.0
2020-08-12,,,,,
2020-08-13,114.43,116.042503,113.927498,115.010002,210082000.0
2020-08-14,114.830002,115.0,113.044998,114.907501,165565200.0
2020-08-17,116.0625,116.087502,113.962502,114.607498,119561600.0
2020-08-18,114.352501,116.0,114.0075,115.5625,105633600.0
2020-08-19,,,,,
2020-08-20,115.75,118.392502,115.732498,118.275002,126907200.0
2020-08-21,,,,,
2020-08-24,128.697495,128.785004,123.9375,125.857498,345937600.0
2020-08-25,124.697502,125.18,123.052498,124.824997,211495600.0
2020-08-26,126.18,126.9925,125.082497,126.522499,163022400.0
2020-08-27,,,,,
2020-08-28,126.012497,126.442497,124.577499,124.807503,187630000.0
2020-08-31,,,,,
2020-09-01,132.759995,134.800003,130.529999,134.179993,151948100.0
2020-09-02,137.589996,137.979996,127.0,131.399994,200119000.0
2020-09-03,126.910004,128.839996,120.5,120.879997,257599600.0
2020-09-04,,,,,
2020-09-08,113.949997,118.989998,112.68,112.82,231366600.0
2020-09-09,117.260002,119.139999,115.260002,117.32,176940500.0
2020-09-10,120.360001,120.5,112.5,113.489998,182274400.0
2020-09-11,,,,,
2020-09-14,,,,,
2020-09-15,118.330002,118.830002,113.610001,115.540001,184642000.0
2020-09-16,,,,,
2020-09-17,109.720001,112.199997,108.709999,110.339996,178011000.0
2020-09-18,,,,,
2020-09-21,104.540001,110.190002,103.099998,110.080002,195713800.0
2020-09-22,,,,,
2020-09-23,,,,,
2020-09-24,,,,,
